<TICKER>,<DATE>,<HIGH>,<LOW>,<CLOSE>,<VOL>,
ABUK,20210103,21.00000,20.65000,20.65000,85046,
ABUK,20210104,20.85000,20.30000,20.60000,130345,
ABUK,20210105,20.60000,20.21000,20.40000,418857,
ABUK,20210106,20.85000,20.52000,20.56000,672298,
ABUK,20210110,20.85000,19.81000,19.90000,892374,
ABUK,20210111,20.10000,19.91000,20.05000,122478,
ABUK,20210112,20.59000,19.95000,20.01000,876896,
ABUK,20210113,20.67000,20.00000,20.60000,902458,
ABUK,20210114,20.74000,20.45000,20.65000,245971,
ABUK,20210117,21.70000,20.74000,21.50000,1154104,
ABUK,20210118,21.70000,20.70000,20.93000,443685,
ABUK,20210119,21.50000,20.90000,21.34000,448465,
ABUK,20210120,22.40000,21.06000,21.52000,1057107,
ABUK,20210121,22.30000,21.50000,22.18000,534917,
ABUK,20210124,22.00000,21.70000,21.90000,193819,
ABUK,20210125,21.90000,21.50000,21.90000,56409,
ABUK,20210126,21.67000,21.41000,21.41000,54817,
ABUK,20210127,23.00000,21.45000,22.70000,808732,
ABUK,20210131,23.91000,22.60000,23.60000,544271,
ABUK,20210201,24.24000,23.02000,23.80000,929857,
ABUK,20210202,24.00000,23.20000,23.22000,54057,
ABUK,20210203,23.02000,22.65000,23.00000,171939,
ABUK,20210204,23.00000,22.64000,22.80000,88322,
ABUK,20210207,23.79000,22.42000,22.50000,150240,
ABUK,20210208,22.80000,21.50000,21.99000,272506,
ABUK,20210209,22.35000,21.65000,22.00000,200345,
ABUK,20210210,22.35000,21.69000,21.80000,110454,
ABUK,20210211,22.25000,21.81000,21.85000,72452,
ABUK,20210214,22.00000,21.20000,21.30000,500427,
ABUK,20210215,21.80000,21.10000,21.12000,385147,
ABUK,20210216,21.65000,21.12000,21.31000,476030,
ABUK,20210217,21.69000,21.12000,21.19000,85997,
ABUK,20210218,22.00000,21.21000,21.57000,315318,
ABUK,20210221,21.90000,21.50000,21.70000,61400,
ABUK,20210222,21.89000,21.63000,21.63000,22196,
ABUK,20210223,21.70000,21.50000,21.70000,174125,
ABUK,20210224,22.00000,21.30000,21.80000,119539,
ABUK,20210225,22.69000,21.79000,21.79000,483104,
ABUK,20210228,22.21000,21.70000,21.70000,274103,
ABUK,20210301,22.40000,21.65000,22.00000,118845,
ABUK,20210302,22.42000,22.24000,22.36000,250900,
ABUK,20210303,22.36000,21.25000,21.55000,65306,
ABUK,20210304,21.90000,21.65000,21.90000,152914,
ABUK,20210307,23.07000,21.88000,22.44000,462387,
ABUK,20210308,23.00000,21.01000,21.85000,152005,
ABUK,20210309,22.00000,21.00000,21.50000,470541,
ABUK,20210310,21.98000,19.34000,21.01000,1468825,
ABUK,20210311,21.60000,21.03000,21.03000,163694,
ABUK,20210314,21.54000,21.20000,21.50000,212938,
ABUK,20210315,21.50000,20.70000,21.48000,110938,
ABUK,20210316,21.50000,20.51000,21.45000,114022,
ABUK,20210317,21.40000,20.64000,21.00000,19788,
ABUK,20210318,21.01000,20.64000,20.80000,26066,
ABUK,20210321,21.00000,20.01000,20.01000,159455,
ABUK,20210322,20.49000,19.99000,20.00000,107866,
ABUK,20210323,20.49000,19.65000,20.40000,76605,
ABUK,20210324,22.00000,20.48000,21.00000,407934,
ABUK,20210325,22.00000,21.00000,21.99000,228723,
ABUK,20210328,22.00000,21.02000,21.02000,56909,
ABUK,20210329,21.69000,21.00000,21.00000,17995,
ABUK,20210330,21.48000,21.05000,21.05000,9050,
ABUK,20210331,21.38000,20.80000,20.90000,4272,
ABUK,20210401,21.30000,20.81000,21.05000,10741,
ABUK,20210404,20.81000,19.83000,20.00000,43755,
ABUK,20210405,21.50000,19.90000,20.90000,420444,
ABUK,20210406,21.00000,20.01000,20.01000,66277,
ABUK,20210407,20.95000,20.10000,20.95000,23378,
ABUK,20210408,20.75000,20.11000,20.45000,20377,
ABUK,20210411,20.95000,19.45000,20.95000,34648,
ABUK,20210412,20.80000,20.16000,20.35000,4740,
ABUK,20210413,20.17000,19.91000,19.91000,25564,
ABUK,20210414,20.00000,19.00000,19.76000,94847,
ABUK,20210415,19.84000,19.00000,19.80000,95419,
ABUK,20210418,19.99000,19.51000,19.90000,5180,
ABUK,20210419,20.25000,19.80000,19.81000,25248,
ABUK,20210420,20.49000,19.95000,20.00000,254568,
ABUK,20210421,20.00000,19.71000,19.71000,18005,
ABUK,20210422,20.24000,20.00000,20.00000,17749,
ABUK,20210425,20.48000,19.75000,20.00000,29080,
ABUK,20210426,20.00000,19.76000,20.00000,16295,
ABUK,20210427,20.38000,19.77000,19.98000,74395,
ABUK,20210428,19.98000,19.60000,19.87000,51507,
ABUK,20210504,20.00000,19.63000,19.90000,48732,
ABUK,20210505,19.95000,19.60000,19.90000,70676,
ABUK,20210506,19.90000,19.61000,19.62000,12369,
ABUK,20210509,19.90000,19.70000,19.70000,36459,
ABUK,20210510,19.90000,19.71000,19.89000,1709,
ABUK,20210511,20.00000,19.65000,19.92000,19453,
ABUK,20210517,20.83000,19.94000,20.79000,21670,
