Ticker,Name,Date,Last,Orders,Offer,Volume,Open,High,Low
EGTS,المصرية للمنتجعات,2022/05/16,1.31,1.29,1.33,138017,1.31,1.31,1.292
ICLE,إنكوليس,2022/05/11,41.0,41.0,41.0,15,41.0,41.0,41.0
UPMS,الاتحاد الصيدلي للخدمات الطبية والاستثمار,2022/05/15,1.394,1.395,1.394,15,1.548,1.394,1.394
MEGM,الشرق الأوسط لصناعة الزجاج,2022/04/28,12.54,13.0,0.0,1981595,12.54,12.54,12.54
AMER,عامر جروب,2022/05/23,0.92,0.905,0.919,317021,0.899,0.92,0.88
EXPA,تنمية الصادرات,2022/05/23,8.2,8.2,8.32,37405,8.34,8.38,8.17
EGBE,المصري الخليجي,2022/05/23,0.351,0.35,0.36,12569,0.342,0.355,0.351
CIEB,كريدي اجريكول,2022/05/23,6.03,6.05,6.02,2611808,6.1,6.15,6.03
BIOC,جلاكسو,2022/05/23,24.11,23.4,24.0,1699,24.11,24.11,23.25
NIPH,النيل للادوية,2022/05/23,31.0,29.46,28.37,29,35.46,31.0,31.0
SAUD,بنك البركة مصر,2022/05/23,15.0,15.01,15.14,45013,15.0,15.31,15.0
EDFM,مطاحن شرق الدلتا,2022/05/23,95.4,95.4,102.0,403,89.83,103.33,95.01
UASG,العربية للشحن والتفريغ,2022/05/23,0.68,0.682,0.685,1110505,0.677,0.689,0.674
ACGC,العربية لحليج الأقطان,2022/05/23,1.352,1.351,1.35,897700,1.385,1.398,1.344
GGCC,الجيزة للمقاولات,2022/05/23,0.28,0.282,0.282,1703273,0.281,0.29,0.279
MNHD,مدينة نصر للاسكان,2022/05/23,2.25,2.24,2.25,7466104,2.19,2.28,2.21
MBSC,مصر بنى سويف للاسمنت,2022/05/23,27.52,27.52,27.77,151185,28.1,28.38,27.5
MENA,مينا للاستثمار السياحي,2022/05/23,0.77,0.77,0.773,15625200,0.779,0.785,0.75
SVCE,جنوب الوادى للاسمنت,2022/05/23,1.19,1.183,1.19,786330,1.156,1.209,1.169
KZPC,كفر الزيات للمبيدات,2022/05/23,27.15,27.06,27.98,5620,28.8,28.04,27.01
DSCW,دايس للملابس الجاهزة,2022/05/23,0.557,0.718,0.56,18671724,0.599,0.598,0.552
SKPC,سيدى كرير,2022/05/23,7.87,7.88,7.88,288915,7.82,7.95,7.81
SPMD,سبيد ميديكال,2022/05/23,0.631,0.638,0.636,6358671,0.63,0.648,0.627
HELI,مصر الجديدة للاسكان,2022/05/23,5.28,5.28,5.3,1776871,5.26,5.35,5.26
IEEC,المشروعات الصناعية,2022/05/23,0.32,0.318,0.3,15054860,0.294,0.322,0.3
JUFO,جهينة للصناعات الغذائية,2022/05/23,8.7,8.71,8.75,1415055,8.62,8.85,8.65
UEFM,مطاحن مصر العليا,2022/05/22,91.24,90.58,96.98,255,90.44,91.27,91.24
CLHO,شركة مستشفي كليوباترا,2022/05/23,5.35,5.35,5.39,901397,5.32,5.5,5.3
AXPH,اسكندرية للادوية,2022/05/23,105.0,105.1,108.5,1122,105.86,108.93,105.0
TRTO,عبر المحيطات للسياحه,2022/05/19,0.033,0.034,0.036,56,0.033,0.033,0.033
EMFD,إعمار مصر للتنمية,2022/05/23,2.7,2.68,2.69,466459,2.66,2.72,2.65
ELEC,الكابلات الكهربائية,2022/05/23,0.315,0.315,0.318,409812,0.312,0.321,0.314
BTFH,بلتون المالية القابضة,2022/05/23,1.106,1.103,1.105,1057191,1.09,1.127,1.092
NCCW,النصر للأعمال المدنية,2022/05/23,14.53,14.53,14.76,124646,13.95,14.85,14.19
ORAS,اوراسكوم كونستراكشون ليميتد,2022/05/23,73.32,73.21,59.5,63318,74.37,75.0,73.0
OFH,اوراسكوم المالية القابضة,2022/05/23,0.163,0.163,0.164,12812521,0.163,0.165,0.162
TMGH,طلعت مصطفي,2022/05/23,7.87,7.83,7.87,1613631,7.89,7.95,7.83
EGAL,مصر للالومنيوم,2022/05/23,18.57,18.58,18.69,70834,19.01,19.23,18.4
ARVA,العربية للمحابس,2022/05/23,1.056,1.06,1.049,736465,1.06,1.074,1.04
MPCO,المنصورة للدواجن,2022/05/23,1.025,1.026,1.029,2599070,1.052,1.075,0.999
MPRC,الانتاج الاعلامى,2022/05/23,5.0,5.0,5.0,664708,4.87,5.1,4.9
CICH,سى اى كابيتال القابضه,2022/05/23,3.85,3.85,3.89,404229,3.9,3.91,3.83
ORWE,النساجون الشرقيون,2022/05/23,7.23,7.2,7.23,518923,7.19,7.26,7.05
ESRS,العز لحديد التسليح,2022/05/23,13.5,13.5,13.55,317854,13.72,13.75,13.48
ZMID,زهراء المعادي,2022/05/23,8.66,8.65,8.7,135591,8.62,8.84,8.53
EHDR,المصريين للاسكان,2022/05/23,0.35,0.351,0.351,9965866,0.35,0.357,0.347
PRMH,برايم القابضة,2022/05/23,0.546,0.546,0.552,2835464,0.563,0.58,0.545
DCRC,دلتا للانشاء,2022/05/23,15.98,15.71,15.98,39981,15.99,16.0,15.5
POUL,القاهرة للدواجن,2022/05/23,2.4,2.4,2.41,2914362,2.33,2.46,2.34
ISPH,ابن سينا فارما,2022/05/23,2.3,2.29,2.29,3759793,2.28,2.34,2.28
ODIN,المصريين في الخارج,2022/05/23,0.873,0.87,0.701,965663,0.876,0.917,0.87
COSG,القاهرة للزيوت,2022/05/23,0.627,0.627,0.627,1100,0.783,0.627,0.627
SCEM,اسمنت سيناء,2022/05/23,6.17,6.17,6.6,3841,6.65,6.75,6.05
PHTV,بيراميزا,2022/05/23,22.3,20.22,22.3,1,22.0,22.3,22.3
DTPP,دلتا للطباعة والتغليف,2022/05/23,16.5,16.02,16.02,2665,20.02,16.9,16.02
SCFM,مطاحن جنوب القاهرة والجيزة,2022/05/23,17.05,16.34,17.05,1042,20.41,17.05,17.05
EMRI,اميرالد للاستثمار العقاري,2022/05/23,1.395,1.386,1.395,1540929,1.337,1.4,1.349
EEII,العربية للصناعات الهندسية,2022/05/23,0.947,0.95,0.95,2187538,0.958,0.977,0.939
QNBA,بنك قطر الوطني الاهلي,2022/05/23,16.85,16.2,16.85,444,16.5,16.9,16.18
